time	V(n001)	V(n002)	V(n002)/I(R1)	I(C1)	I(V1)	Is(J1)
0.000000000000000e+000	4.000000e+000	3.999994e+000	6.807758e+002	-5.875641e-003	-5.510259e-012	-5.875641e-003
9.999999717180685e-010	4.000000e+000	3.999999e+000	6.807741e+002	-5.875662e-003	7.580916e-009	-5.875655e-003
3.999999886872274e-009	4.000000e+000	4.000000e+000	6.807742e+002	-5.875663e-003	2.646715e-010	-5.875663e-003
1.000000000000000e-003	4.000000e+000	3.942401e+000	6.982475e+002	-5.646137e-003	-1.109655e-009	-5.646138e-003
2.967075892857141e-003	4.000000e+000	3.837081e+000	7.326672e+002	-5.237140e-003	-6.784300e-010	-5.237141e-003
4.934151785714281e-003	4.000000e+000	3.737966e+000	7.693999e+002	-4.858288e-003	-3.433364e-010	-4.858288e-003
6.901227678571422e-003	4.000000e+000	3.645056e+000	8.082919e+002	-4.509578e-003	-1.043745e-010	-4.509578e-003
8.868303571428562e-003	4.000000e+000	3.558350e+000	8.490430e+002	-4.191013e-003	3.845561e-011	-4.191013e-003
1.083537946428570e-002	4.000000e+000	3.477849e+000	8.911643e+002	-3.902591e-003	8.515395e-011	-3.902591e-003
1.280245535714284e-002	4.000000e+000	3.403553e+000	9.339358e+002	-3.644312e-003	3.572052e-011	-3.644312e-003
1.476953124999998e-002	4.000000e+000	3.335462e+000	9.763727e+002	-3.416177e-003	-1.098447e-010	-3.416177e-003
1.537388392857141e-002	4.000000e+000	3.315051e+000	9.902032e+002	-3.347850e-003	-1.077922e-010	-3.347850e-003
1.597823660714284e-002	4.000000e+000	3.295022e+000	1.004211e+003	-3.281205e-003	-1.057942e-010	-3.281205e-003
1.658258928571427e-002	4.000000e+000	3.275374e+000	1.018385e+003	-3.216242e-003	-1.038506e-010	-3.216242e-003
1.718694196428571e-002	4.000000e+000	3.256107e+000	1.032714e+003	-3.152962e-003	-1.019613e-010	-3.152962e-003
1.779129464285714e-002	4.000000e+000	3.237221e+000	1.047182e+003	-3.091364e-003	-1.001265e-010	-3.091364e-003
1.839564732142857e-002	4.000000e+000	3.218716e+000	1.061775e+003	-3.031448e-003	-9.834606e-011	-3.031448e-003
1.900000000000000e-002	4.000000e+000	3.200592e+000	1.076475e+003	-2.973214e-003	-9.662005e-011	-2.973214e-003
2.000000000000000e-002	4.000000e+000	3.171330e+000	1.101177e+003	-2.879945e-003	-9.382539e-011	-2.879945e-003
2.244140625000000e-002	4.000000e+000	3.104636e+000	1.161422e+003	-2.673135e-003	-8.769295e-011	-2.673135e-003
2.488281250000001e-002	4.000000e+000	3.041824e+000	1.225696e+003	-2.481711e-003	-8.201973e-011	-2.481711e-003
2.732421875000002e-002	4.000000e+000	2.982895e+000	1.293718e+003	-2.305676e-003	-7.680573e-011	-2.305676e-003
2.976562500000003e-002	4.000000e+000	2.927847e+000	1.364947e+003	-2.145027e-003	-7.205097e-011	-2.145027e-003
3.220703125000003e-002	4.000000e+000	2.876682e+000	1.438509e+003	-1.999766e-003	-6.775542e-011	-1.999766e-003
3.464843750000004e-002	4.000000e+000	2.829399e+000	1.513135e+003	-1.869892e-003	-6.391911e-011	-1.869892e-003
3.708984375000004e-002	4.000000e+000	2.785998e+000	1.587096e+003	-1.755406e-003	-6.054202e-011	-1.755406e-003
3.893415178571432e-002	4.000000e+000	2.754605e+000	1.646172e+003	-1.673340e-003	-5.811466e-011	-1.673340e-003
4.077845982142860e-002	4.000000e+000	2.724478e+000	1.707451e+003	-1.595641e-003	-5.581496e-011	-1.595641e-003
4.262276785714288e-002	4.000000e+000	2.695617e+000	1.770743e+003	-1.522309e-003	-5.364294e-011	-1.522309e-003
4.446707589285717e-002	4.000000e+000	2.668023e+000	1.835784e+003	-1.453343e-003	-5.159857e-011	-1.453343e-003
4.631138392857145e-002	4.000000e+000	2.641694e+000	1.902219e+003	-1.388743e-003	-4.968187e-011	-1.388743e-003
4.815569196428572e-002	4.000000e+000	2.616631e+000	1.969599e+003	-1.328510e-003	-4.789283e-011	-1.328510e-003
5.000000000000000e-002	4.000000e+000	2.592835e+000	2.037361e+003	-1.272643e-003	-4.623146e-011	-1.272644e-003
5.100000000000000e-002	4.000000e+000	2.580256e+000	2.075327e+003	-1.243301e-003	-4.535838e-011	-1.243301e-003
5.357142857142858e-002	4.000000e+000	2.549509e+000	2.173178e+003	-1.173171e-003	-4.326769e-011	-1.173171e-003
5.614285714285715e-002	4.000000e+000	2.520217e+000	2.275744e+003	-1.107425e-003	-4.130539e-011	-1.107425e-003
5.871428571428572e-002	4.000000e+000	2.492380e+000	2.382625e+003	-1.046065e-003	-3.947149e-011	-1.046065e-003
6.128571428571429e-002	4.000000e+000	2.465998e+000	2.493202e+003	-9.890887e-004	-3.776600e-011	-9.890887e-004
6.385714285714286e-002	4.000000e+000	2.441071e+000	2.606596e+003	-9.364976e-004	-3.618891e-011	-9.364976e-004
6.642857142857143e-002	4.000000e+000	2.417599e+000	2.721628e+003	-8.882913e-004	-3.474022e-011	-8.882913e-004
6.900000000000001e-002	4.000000e+000	2.395582e+000	2.836788e+003	-8.444698e-004	-3.341993e-011	-8.444698e-004
7.000000000000001e-002	4.000000e+000	2.387220e+000	2.883495e+003	-8.278914e-004	-3.291989e-011	-8.278915e-004
7.380859375000007e-002	4.000000e+000	2.357265e+000	3.060645e+003	-7.701857e-004	-3.117571e-011	-7.701858e-004
7.761718750000012e-002	4.000000e+000	2.328999e+000	3.249280e+003	-7.167736e-004	-2.955874e-011	-7.167737e-004
8.142578125000018e-002	4.000000e+000	2.302422e+000	3.448519e+003	-6.676552e-004	-2.806899e-011	-6.676552e-004
8.523437500000022e-002	4.000000e+000	2.277535e+000	3.656750e+003	-6.228304e-004	-2.670644e-011	-6.228304e-004
8.904296875000028e-002	4.000000e+000	2.254337e+000	3.871441e+003	-5.822991e-004	-2.547111e-011	-5.822991e-004
9.285156250000033e-002	4.000000e+000	2.232829e+000	4.088969e+003	-5.460615e-004	-2.436298e-011	-5.460615e-004
9.666015625000038e-002	4.000000e+000	2.213010e+000	4.304482e+003	-5.141175e-004	-2.338207e-011	-5.141175e-004
1.000000000000000e-001	4.000000e+000	2.196291e+000	4.506778e+003	-4.873308e-004	-2.256018e-011	-4.873308e-004
1.010000000000000e-001	4.000000e+000	2.191457e+000	4.568410e+003	-4.796979e-004	-2.232570e-011	-4.796979e-004
1.035714285714286e-001	4.000000e+000	2.179425e+000	4.727635e+003	-4.609968e-004	-2.175009e-011	-4.609968e-004
1.061428571428572e-001	4.000000e+000	2.167804e+000	4.891570e+003	-4.431715e-004	-2.120081e-011	-4.431715e-004
1.087142857142857e-001	4.000000e+000	2.156596e+000	5.059796e+003	-4.262219e-004	-2.067786e-011	-4.262220e-004
1.112857142857143e-001	4.000000e+000	2.145800e+000	5.231768e+003	-4.101481e-004	-2.018124e-011	-4.101482e-004
1.138571428571429e-001	4.000000e+000	2.135415e+000	5.406797e+003	-3.949501e-004	-1.971095e-011	-3.949501e-004
1.164285714285714e-001	4.000000e+000	2.125442e+000	5.584044e+003	-3.806278e-004	-1.926700e-011	-3.806278e-004
1.190000000000000e-001	4.000000e+000	2.115881e+000	5.762498e+003	-3.671813e-004	-1.884937e-011	-3.671813e-004
1.200000000000000e-001	4.000000e+000	2.112235e+000	5.833576e+003	-3.620824e-004	-1.869260e-011	-3.620824e-004
1.242857142857143e-001	4.000000e+000	2.097313e+000	6.138019e+003	-3.416922e-004	-1.805839e-011	-3.416922e-004
1.285714285714286e-001	4.000000e+000	2.083093e+000	6.457204e+003	-3.225999e-004	-1.746389e-011	-3.225999e-004
1.328571428571429e-001	4.000000e+000	2.069575e+000	6.789823e+003	-3.048055e-004	-1.690910e-011	-3.048055e-004
1.371428571428572e-001	4.000000e+000	2.056759e+000	7.133870e+003	-2.883090e-004	-1.639402e-011	-2.883091e-004
1.414285714285715e-001	4.000000e+000	2.044645e+000	7.486513e+003	-2.731105e-004	-1.591865e-011	-2.731105e-004
1.457142857142857e-001	4.000000e+000	2.033233e+000	7.843966e+003	-2.592098e-004	-1.548299e-011	-2.592099e-004
