Freq.	I(R1)
1.00000000000000e+008	(-1.11787518814202e+002dB,-9.12594989289758e+001°)
1.00230523807790e+008	(-1.11726971291064e+002dB,-9.12624061355218e+001°)
1.00461579027840e+008	(-1.11666421205809e+002dB,-9.12653203724636e+001°)
1.00693166885180e+008	(-1.11605868546283e+002dB,-9.12682416581407e+001°)
1.00925288607668e+008	(-1.11545313300275e+002dB,-9.12711700101357e+001°)
1.01157945425990e+008	(-1.11484755455510e+002dB,-9.12741054467646e+001°)
1.01391138573668e+008	(-1.11424194999660e+002dB,-9.12770479857584e+001°)
1.01624869287070e+008	(-1.11363631920330e+002dB,-9.12799976453844e+001°)
1.01859138805412e+008	(-1.11303066205071e+002dB,-9.12829544434898e+001°)
1.02093948370768e+008	(-1.11242497841368e+002dB,-9.12859183987682e+001°)
1.02329299228075e+008	(-1.11181926816647e+002dB,-9.12888895289684e+001°)
1.02565192625141e+008	(-1.11121353118274e+002dB,-9.12918678526580e+001°)
1.02801629812647e+008	(-1.11060776733552e+002dB,-9.12948533879494e+001°)
1.03038612044162e+008	(-1.11000197649721e+002dB,-9.12978461535662e+001°)
1.03276140576140e+008	(-1.10939615853962e+002dB,-9.13008461677548e+001°)
1.03514216667934e+008	(-1.10879031333388e+002dB,-9.13038534491737e+001°)
1.03752841581801e+008	(-1.10818444075055e+002dB,-9.13068680164654e+001°)
1.03992016582906e+008	(-1.10757854065953e+002dB,-9.13098898878437e+001°)
1.04231742939330e+008	(-1.10697261293006e+002dB,-9.13129190827508e+001°)
1.04472021922080e+008	(-1.10636665743080e+002dB,-9.13159556193683e+001°)
1.04712854805090e+008	(-1.10576067402971e+002dB,-9.13189995164328e+001°)
1.04954242865232e+008	(-1.10515466259413e+002dB,-9.13220507932769e+001°)
1.05196187382322e+008	(-1.10454862299075e+002dB,-9.13251094687903e+001°)
1.05438689639126e+008	(-1.10394255508563e+002dB,-9.13281755614922e+001°)
1.05681750921366e+008	(-1.10333645874412e+002dB,-9.13312490909610e+001°)
1.05925372517729e+008	(-1.10273033383095e+002dB,-9.13343300761979e+001°)
1.06169555719872e+008	(-1.10212418021018e+002dB,-9.13374185359972e+001°)
1.06414301822431e+008	(-1.10151799774522e+002dB,-9.13405144900429e+001°)
1.06659612123026e+008	(-1.10091178629876e+002dB,-9.13436179576019e+001°)
1.06905487922266e+008	(-1.10030554573288e+002dB,-9.13467289578789e+001°)
1.07151930523760e+008	(-1.09969927590895e+002dB,-9.13498475100660e+001°)
1.07398941234124e+008	(-1.09909297668765e+002dB,-9.13529736341098e+001°)
1.07646521362983e+008	(-1.09848664792902e+002dB,-9.13561073492974e+001°)
1.07894672222983e+008	(-1.09788028949236e+002dB,-9.13592486751756e+001°)
1.08143395129794e+008	(-1.09727390123630e+002dB,-9.13623976318661e+001°)
1.08392691402120e+008	(-1.09666748301881e+002dB,-9.13655542382635e+001°)
1.08642562361706e+008	(-1.09606103469711e+002dB,-9.13687185149014e+001°)
1.08893009333343e+008	(-1.09545455612775e+002dB,-9.13718904813068e+001°)
1.09144033644875e+008	(-1.09484804716657e+002dB,-9.13750701575821e+001°)
1.09395636627209e+008	(-1.09424150766869e+002dB,-9.13782575633294e+001°)
1.09647819614318e+008	(-1.09363493748853e+002dB,-9.13814527189211e+001°)
1.09900583943252e+008	(-1.09302833647979e+002dB,-9.13846556445650e+001°)
1.10153930954141e+008	(-1.09242170449546e+002dB,-9.13878663600743e+001°)
1.10407861990207e+008	(-1.09181504138778e+002dB,-9.13910848859722e+001°)
1.10662378397766e+008	(-1.09120834700828e+002dB,-9.13943112425759e+001°)
1.10917481526240e+008	(-1.09060162120779e+002dB,-9.13975454499001e+001°)
1.11173172728159e+008	(-1.08999486383634e+002dB,-9.14007875288632e+001°)
1.11429453359173e+008	(-1.08938807474327e+002dB,-9.14040374994764e+001°)
1.11686324778056e+008	(-1.08878125377717e+002dB,-9.14072953828203e+001°)
1.11943788346715e+008	(-1.08817440078587e+002dB,-9.14105611991230e+001°)
1.12201845430196e+008	(-1.08756751561645e+002dB,-9.14138349690753e+001°)
1.12460497396692e+008	(-1.08696059811525e+002dB,-9.14171167137096e+001°)
1.12719745617551e+008	(-1.08635364812785e+002dB,-9.14204064537848e+001°)
1.12979591467279e+008	(-1.08574666549906e+002dB,-9.14237042099385e+001°)
1.13240036323555e+008	(-1.08513965007293e+002dB,-9.14270100036897e+001°)
1.13501081567231e+008	(-1.08453260169272e+002dB,-9.14303238555962e+001°)
1.13762728582343e+008	(-1.08392552020094e+002dB,-9.14336457868763e+001°)
1.14024978756117e+008	(-1.08331840543933e+002dB,-9.14369758186786e+001°)
1.14287833478977e+008	(-1.08271125724882e+002dB,-9.14403139722160e+001°)
1.14551294144553e+008	(-1.08210407546956e+002dB,-9.14436602691309e+001°)
1.14815362149688e+008	(-1.08149685994093e+002dB,-9.14470147304304e+001°)
1.15080038894443e+008	(-1.08088961050149e+002dB,-9.14503773775696e+001°)
1.15345325782109e+008	(-1.08028232698902e+002dB,-9.14537482323289e+001°)
1.15611224219209e+008	(-1.07967500924047e+002dB,-9.14571273163470e+001°)
1.15877735615512e+008	(-1.07906765709202e+002dB,-9.14605146507886e+001°)
1.16144861384034e+008	(-1.07846027037903e+002dB,-9.14639102578437e+001°)
1.16412602941049e+008	(-1.07785284893601e+002dB,-9.14673141592266e+001°)
1.16680961706096e+008	(-1.07724539259670e+002dB,-9.14707263766444e+001°)
1.16949939101987e+008	(-1.07663790119396e+002dB,-9.14741469321315e+001°)
1.17219536554813e+008	(-1.07603037455987e+002dB,-9.14775758479283e+001°)
1.17489755493953e+008	(-1.07542281252566e+002dB,-9.14810131458134e+001°)
1.17760597352080e+008	(-1.07481521492171e+002dB,-9.14844588483175e+001°)
1.18032063565173e+008	(-1.07420758157758e+002dB,-9.14879129771777e+001°)
1.18304155572516e+008	(-1.07359991232197e+002dB,-9.14913755551889e+001°)
1.18576874816716e+008	(-1.07299220698272e+002dB,-9.14948466045592e+001°)
